exp_time|process|stage|trial|role|step|score_0|score_1|choice_set|choice_bonus|initiation|destination|unit_bonus
36.822|exercise|0|1|1|7|9|3|[(-4, 4), (0, 0), (-7, 7), (-6, 6), (-5, 5)]|(-6, 6)|(1, 1)|(0, 1)|{(0, 0): (-6, 6), (0, 1): (-6, 6), (0, 2): (-7, 7), (0, 3): (0, 0), (0, 4): (-4, 4), (0, 5): (0, 0), (0, 6): (-7, 7), (1, 0): (-4, 4), (1, 1): (0, 0), (1, 2): (-5, 5), (1, 3): (0, 0), (1, 4): (-6, 6), (1, 5): (-6, 6), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-4, 4), (2, 3): (-5, 5), (2, 4): (0, 0), (2, 5): (0, 0), (2, 6): (-7, 7), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (0, 0), (3, 6): (0, 0), (4, 0): (-7, 7), (4, 1): (0, 0), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (-4, 4), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-6, 6), (5, 1): (-5, 5), (5, 2): (-4, 4), (5, 3): (-5, 5), (5, 4): (0, 0), (5, 5): (-6, 6), (5, 6): (-6, 6), (6, 0): (-7, 7), (6, 1): (-7, 7), (6, 2): (-7, 7), (6, 3): (-7, 7), (6, 4): (0, 0), (6, 5): (0, 0), (6, 6): (0, 0)}
39.163|exercise|0|1|0|1|9|9|[(0, 0)]|(0, 0)|(0, 1)|(0, 3)|{(0, 0): (-6, 6), (0, 1): (0, 0), (0, 2): (-7, 7), (0, 3): (0, 0), (0, 4): (-4, 4), (0, 5): (0, 0), (0, 6): (-7, 7), (1, 0): (-4, 4), (1, 1): (0, 0), (1, 2): (-5, 5), (1, 3): (0, 0), (1, 4): (-6, 6), (1, 5): (-6, 6), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-4, 4), (2, 3): (-5, 5), (2, 4): (0, 0), (2, 5): (0, 0), (2, 6): (-7, 7), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (0, 0), (3, 6): (0, 0), (4, 0): (-7, 7), (4, 1): (0, 0), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (-4, 4), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-6, 6), (5, 1): (-5, 5), (5, 2): (-4, 4), (5, 3): (-5, 5), (5, 4): (0, 0), (5, 5): (-6, 6), (5, 6): (-6, 6), (6, 0): (-7, 7), (6, 1): (-7, 7), (6, 2): (-7, 7), (6, 3): (-7, 7), (6, 4): (0, 0), (6, 5): (0, 0), (6, 6): (0, 0)}
42.125|exercise|0|1|1|11|5|9|[(-4, 4), (0, 0), (-7, 7), (-6, 6), (-5, 5)]|(-4, 4)|(0, 3)|(0, 4)|{(0, 0): (-6, 6), (0, 1): (0, 0), (0, 2): (-7, 7), (0, 3): (0, 0), (0, 4): (-4, 4), (0, 5): (0, 0), (0, 6): (-7, 7), (1, 0): (-4, 4), (1, 1): (0, 0), (1, 2): (-5, 5), (1, 3): (0, 0), (1, 4): (-6, 6), (1, 5): (-6, 6), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-4, 4), (2, 3): (-5, 5), (2, 4): (0, 0), (2, 5): (0, 0), (2, 6): (-7, 7), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (0, 0), (3, 6): (0, 0), (4, 0): (-7, 7), (4, 1): (0, 0), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (-4, 4), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-6, 6), (5, 1): (-5, 5), (5, 2): (-4, 4), (5, 3): (-5, 5), (5, 4): (0, 0), (5, 5): (-6, 6), (5, 6): (-6, 6), (6, 0): (-7, 7), (6, 1): (-7, 7), (6, 2): (-7, 7), (6, 3): (-7, 7), (6, 4): (0, 0), (6, 5): (0, 0), (6, 6): (0, 0)}
44.358|exercise|0|1|0|7|5|13|[(-4, 4), (-7, 7), (-6, 6), (0, 0)]|(-6, 6)|(0, 4)|(1, 4)|{(0, 0): (-6, 6), (0, 1): (0, 0), (0, 2): (-7, 7), (0, 3): (0, 0), (0, 4): (0, 0), (0, 5): (0, 0), (0, 6): (-7, 7), (1, 0): (-4, 4), (1, 1): (0, 0), (1, 2): (-5, 5), (1, 3): (0, 0), (1, 4): (-6, 6), (1, 5): (-6, 6), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-4, 4), (2, 3): (-5, 5), (2, 4): (0, 0), (2, 5): (0, 0), (2, 6): (-7, 7), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (0, 0), (3, 6): (0, 0), (4, 0): (-7, 7), (4, 1): (0, 0), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (-4, 4), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-6, 6), (5, 1): (-5, 5), (5, 2): (-4, 4), (5, 3): (-5, 5), (5, 4): (0, 0), (5, 5): (-6, 6), (5, 6): (-6, 6), (6, 0): (-7, 7), (6, 1): (-7, 7), (6, 2): (-7, 7), (6, 3): (-7, 7), (6, 4): (0, 0), (6, 5): (0, 0), (6, 6): (0, 0)}
46.954|exercise|0|1|1|-99|11|13|END_OF_TRIAL|END_OF_TRIAL|(1, 4)|(-999, -999)|{(0, 0): (-6, 6), (0, 1): (0, 0), (0, 2): (-7, 7), (0, 3): (0, 0), (0, 4): (0, 0), (0, 5): (0, 0), (0, 6): (-7, 7), (1, 0): (-4, 4), (1, 1): (0, 0), (1, 2): (-5, 5), (1, 3): (0, 0), (1, 4): (0, 0), (1, 5): (-6, 6), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-4, 4), (2, 3): (-5, 5), (2, 4): (0, 0), (2, 5): (0, 0), (2, 6): (-7, 7), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (0, 0), (3, 6): (0, 0), (4, 0): (-7, 7), (4, 1): (0, 0), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (-4, 4), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-6, 6), (5, 1): (-5, 5), (5, 2): (-4, 4), (5, 3): (-5, 5), (5, 4): (0, 0), (5, 5): (-6, 6), (5, 6): (-6, 6), (6, 0): (-7, 7), (6, 1): (-7, 7), (6, 2): (-7, 7), (6, 3): (-7, 7), (6, 4): (0, 0), (6, 5): (0, 0), (6, 6): (0, 0)}
53.995|exercise|0|3|1|11|0|0|[(-4, 4), (-7, 7), (-6, 6), (0, 0)]|(-7, 7)|(3, 3)|(4, 3)|{(0, 0): (-5, 5), (0, 1): (-7, 7), (0, 2): (0, 0), (0, 3): (-7, 7), (0, 4): (-5, 5), (0, 5): (0, 0), (0, 6): (-6, 6), (1, 0): (-7, 7), (1, 1): (-4, 4), (1, 2): (-7, 7), (1, 3): (0, 0), (1, 4): (-7, 7), (1, 5): (0, 0), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (-4, 4), (2, 2): (-6, 6), (2, 3): (0, 0), (2, 4): (-6, 6), (2, 5): (-7, 7), (2, 6): (-6, 6), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (-4, 4), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (0, 0), (4, 3): (-7, 7), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-4, 4), (5, 1): (0, 0), (5, 2): (0, 0), (5, 3): (-4, 4), (5, 4): (-4, 4), (5, 5): (-6, 6), (5, 6): (0, 0), (6, 0): (-6, 6), (6, 1): (-6, 6), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-5, 5), (6, 6): (-5, 5)}
56.235|exercise|0|3|0|4|0|7|[(-4, 4), (0, 0)]|(-4, 4)|(4, 3)|(5, 3)|{(0, 0): (-5, 5), (0, 1): (-7, 7), (0, 2): (0, 0), (0, 3): (-7, 7), (0, 4): (-5, 5), (0, 5): (0, 0), (0, 6): (-6, 6), (1, 0): (-7, 7), (1, 1): (-4, 4), (1, 2): (-7, 7), (1, 3): (0, 0), (1, 4): (-7, 7), (1, 5): (0, 0), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (-4, 4), (2, 2): (-6, 6), (2, 3): (0, 0), (2, 4): (-6, 6), (2, 5): (-7, 7), (2, 6): (-6, 6), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (-4, 4), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (0, 0), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-4, 4), (5, 1): (0, 0), (5, 2): (0, 0), (5, 3): (-4, 4), (5, 4): (-4, 4), (5, 5): (-6, 6), (5, 6): (0, 0), (6, 0): (-6, 6), (6, 1): (-6, 6), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-5, 5), (6, 6): (-5, 5)}
59.322|exercise|0|3|1|0|4|7|[(0, 0)]|(0, 0)|(5, 3)|(5, 1)|{(0, 0): (-5, 5), (0, 1): (-7, 7), (0, 2): (0, 0), (0, 3): (-7, 7), (0, 4): (-5, 5), (0, 5): (0, 0), (0, 6): (-6, 6), (1, 0): (-7, 7), (1, 1): (-4, 4), (1, 2): (-7, 7), (1, 3): (0, 0), (1, 4): (-7, 7), (1, 5): (0, 0), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (-4, 4), (2, 2): (-6, 6), (2, 3): (0, 0), (2, 4): (-6, 6), (2, 5): (-7, 7), (2, 6): (-6, 6), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (-4, 4), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (0, 0), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-4, 4), (5, 1): (0, 0), (5, 2): (0, 0), (5, 3): (0, 0), (5, 4): (-4, 4), (5, 5): (-6, 6), (5, 6): (0, 0), (6, 0): (-6, 6), (6, 1): (-6, 6), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-5, 5), (6, 6): (-5, 5)}
61.633|exercise|0|3|0|11|4|4|[(-4, 4), (-7, 7), (-6, 6), (0, 0)]|(-7, 7)|(5, 1)|(4, 1)|{(0, 0): (-5, 5), (0, 1): (-7, 7), (0, 2): (0, 0), (0, 3): (-7, 7), (0, 4): (-5, 5), (0, 5): (0, 0), (0, 6): (-6, 6), (1, 0): (-7, 7), (1, 1): (-4, 4), (1, 2): (-7, 7), (1, 3): (0, 0), (1, 4): (-7, 7), (1, 5): (0, 0), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (-4, 4), (2, 2): (-6, 6), (2, 3): (0, 0), (2, 4): (-6, 6), (2, 5): (-7, 7), (2, 6): (-6, 6), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (-4, 4), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (0, 0), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-4, 4), (5, 1): (0, 0), (5, 2): (0, 0), (5, 3): (0, 0), (5, 4): (-4, 4), (5, 5): (-6, 6), (5, 6): (0, 0), (6, 0): (-6, 6), (6, 1): (-6, 6), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-5, 5), (6, 6): (-5, 5)}
64.874|exercise|0|3|1|4|11|4|[(-4, 4), (0, 0)]|(-4, 4)|(4, 1)|(2, 1)|{(0, 0): (-5, 5), (0, 1): (-7, 7), (0, 2): (0, 0), (0, 3): (-7, 7), (0, 4): (-5, 5), (0, 5): (0, 0), (0, 6): (-6, 6), (1, 0): (-7, 7), (1, 1): (-4, 4), (1, 2): (-7, 7), (1, 3): (0, 0), (1, 4): (-7, 7), (1, 5): (0, 0), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (-4, 4), (2, 2): (-6, 6), (2, 3): (0, 0), (2, 4): (-6, 6), (2, 5): (-7, 7), (2, 6): (-6, 6), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (-4, 4), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (0, 0), (4, 2): (0, 0), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-4, 4), (5, 1): (0, 0), (5, 2): (0, 0), (5, 3): (0, 0), (5, 4): (-4, 4), (5, 5): (-6, 6), (5, 6): (0, 0), (6, 0): (-6, 6), (6, 1): (-6, 6), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-5, 5), (6, 6): (-5, 5)}
